x,y,diameter_pixel,imagePath,realDiameter
1104,710,472,example/input\Nikon DS-Ri2\Sample 2\2108.tif,692.691517464045
340,438,472,example/input\Nikon DS-Ri2\Sample 2\2108.tif,692.691517464045
624,711,472,example/input\Nikon DS-Ri2\Sample 2\2108.tif,692.691517464045
710,165,464,example/input\Nikon DS-Ri2\Sample 2\2108.tif,680.9509832697391
450,576,464,example/input\Nikon DS-Ri2\Sample 2\2108.tif,680.9509832697391
994,280,464,example/input\Nikon DS-Ri2\Sample 2\2108.tif,680.9509832697391
1167,460,464,example/input\Nikon DS-Ri2\Sample 2\2108.tif,680.9509832697391
592,447,456,example/input\Nikon DS-Ri2\Sample 2\2108.tif,669.2104490754332
458,394,464,example/input\Nikon DS-Ri2\Sample 2\2108.tif,680.9509832697391
782,478,464,example/input\Nikon DS-Ri2\Sample 2\2108.tif,680.9509832697391
896,459,456,example/input\Nikon DS-Ri2\Sample 2\2108.tif,669.2104490754332
298,212,464,example/input\Nikon DS-Ri2\Sample 2\2108.tif,680.9509832697391
123,376,168,example/input\Nikon DS-Ri2\Sample 2\2108.tif,246.55121808042279
1220,741,464,example/input\Nikon DS-Ri2\Sample 2\2108.tif,680.9509832697391
1024,753,472,example/input\Nikon DS-Ri2\Sample 2\2109.tif,692.691517464045
1160,428,464,example/input\Nikon DS-Ri2\Sample 2\2109.tif,680.9509832697391
200,446,472,example/input\Nikon DS-Ri2\Sample 2\2109.tif,692.691517464045
129,588,464,example/input\Nikon DS-Ri2\Sample 2\2109.tif,680.9509832697391
537,741,464,example/input\Nikon DS-Ri2\Sample 2\2109.tif,680.9509832697391
1020,63,464,example/input\Nikon DS-Ri2\Sample 2\2109.tif,680.9509832697391
717,542,512,example/input\Nikon DS-Ri2\Sample 2\2109.tif,751.3941884355742
1125,675,480,example/input\Nikon DS-Ri2\Sample 2\2110.tif,704.4320516583508
994,609,472,example/input\Nikon DS-Ri2\Sample 2\2110.tif,692.691517464045
87,154,472,example/input\Nikon DS-Ri2\Sample 2\2110.tif,692.691517464045
339,376,472,example/input\Nikon DS-Ri2\Sample 2\2110.tif,692.691517464045
764,392,464,example/input\Nikon DS-Ri2\Sample 2\2110.tif,680.9509832697391
1124,110,472,example/input\Nikon DS-Ri2\Sample 2\2110.tif,692.691517464045
924,132,464,example/input\Nikon DS-Ri2\Sample 2\2110.tif,680.9509832697391
776,64,464,example/input\Nikon DS-Ri2\Sample 2\2110.tif,680.9509832697391
993,441,464,example/input\Nikon DS-Ri2\Sample 2\2110.tif,680.9509832697391
76,399,464,example/input\Nikon DS-Ri2\Sample 2\2110.tif,680.9509832697391
417,582,472,example/input\Nikon DS-Ri2\Sample 2\2110.tif,692.691517464045
216,762,464,example/input\Nikon DS-Ri2\Sample 2\2110.tif,680.9509832697391
1173,460,472,example/input\Nikon DS-Ri2\Sample 2\2110.tif,692.691517464045
1116,795,472,example/input\Nikon DS-Ri2\Sample 2\2110.tif,692.691517464045
954,178,456,example/input\Nikon DS-Ri2\Sample 2\2111.tif,669.2104490754332
1084,87,472,example/input\Nikon DS-Ri2\Sample 2\2111.tif,692.691517464045
762,356,472,example/input\Nikon DS-Ri2\Sample 2\2111.tif,692.691517464045
1142,723,480,example/input\Nikon DS-Ri2\Sample 2\2111.tif,704.4320516583508
846,628,472,example/input\Nikon DS-Ri2\Sample 2\2111.tif,692.691517464045
831,136,464,example/input\Nikon DS-Ri2\Sample 2\2111.tif,680.9509832697391
1140,424,464,example/input\Nikon DS-Ri2\Sample 2\2111.tif,680.9509832697391
681,440,456,example/input\Nikon DS-Ri2\Sample 2\2111.tif,669.2104490754332
453,700,472,example/input\Nikon DS-Ri2\Sample 2\2111.tif,692.691517464045
465,220,456,example/input\Nikon DS-Ri2\Sample 2\2111.tif,669.2104490754332
414,380,456,example/input\Nikon DS-Ri2\Sample 2\2111.tif,669.2104490754332
183,54,464,example/input\Nikon DS-Ri2\Sample 2\2111.tif,680.9509832697391
54,696,464,example/input\Nikon DS-Ri2\Sample 2\2111.tif,680.9509832697391
807,760,464,example/input\Nikon DS-Ri2\Sample 2\2111.tif,680.9509832697391
50,382,464,example/input\Nikon DS-Ri2\Sample 2\2111.tif,680.9509832697391
314,168,472,example/input\Nikon DS-Ri2\Sample 2\2112.tif,692.691517464045
972,580,472,example/input\Nikon DS-Ri2\Sample 2\2112.tif,692.691517464045
134,370,472,example/input\Nikon DS-Ri2\Sample 2\2112.tif,692.691517464045
432,178,464,example/input\Nikon DS-Ri2\Sample 2\2112.tif,680.9509832697391
860,236,480,example/input\Nikon DS-Ri2\Sample 2\2112.tif,704.4320516583508
1158,642,472,example/input\Nikon DS-Ri2\Sample 2\2112.tif,692.691517464045
777,376,464,example/input\Nikon DS-Ri2\Sample 2\2112.tif,680.9509832697391
192,122,464,example/input\Nikon DS-Ri2\Sample 2\2112.tif,680.9509832697391
