x,y,diameter_pixel,imagePath,realDiameter,sample
411,358,328,example/input\Nikon DS-Ri2\Sample 1\086.tif,481.3619019665397,Sample 1
87,758,344,example/input\Nikon DS-Ri2\Sample 1\086.tif,504.8429703551514,Sample 1
105,234,328,example/input\Nikon DS-Ri2\Sample 1\086.tif,481.3619019665397,Sample 1
298,438,336,example/input\Nikon DS-Ri2\Sample 1\086.tif,493.1024361608456,Sample 1
243,700,336,example/input\Nikon DS-Ri2\Sample 1\086.tif,493.1024361608456,Sample 1
696,357,320,example/input\Nikon DS-Ri2\Sample 1\086.tif,469.6213677722338,Sample 1
459,462,344,example/input\Nikon DS-Ri2\Sample 1\086.tif,504.8429703551514,Sample 1
171,746,336,example/input\Nikon DS-Ri2\Sample 1\086.tif,493.1024361608456,Sample 1
876,34,360,example/input\Nikon DS-Ri2\Sample 1\086.tif,528.3240387437631,Sample 1
32,471,336,example/input\Nikon DS-Ri2\Sample 1\086.tif,493.1024361608456,Sample 1
22,687,336,example/input\Nikon DS-Ri2\Sample 1\086.tif,493.1024361608456,Sample 1
1131,86,168,example/input\Nikon DS-Ri2\Sample 1\086.tif,246.5512180804228,Sample 1
1110,436,512,example/input\Nikon DS-Ri2\Sample 1\087.tif,751.3941884355742,Sample 1
784,612,472,example/input\Nikon DS-Ri2\Sample 1\087.tif,692.691517464045,Sample 1
1088,550,448,example/input\Nikon DS-Ri2\Sample 1\087.tif,657.4699148811274,Sample 1
376,404,432,example/input\Nikon DS-Ri2\Sample 1\087.tif,633.9888464925157,Sample 1
276,502,336,example/input\Nikon DS-Ri2\Sample 1\087.tif,493.1024361608456,Sample 1
466,740,336,example/input\Nikon DS-Ri2\Sample 1\087.tif,493.1024361608456,Sample 1
46,566,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514,Sample 1
122,124,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514,Sample 1
664,238,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514,Sample 1
184,490,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514,Sample 1
1170,748,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514,Sample 1
212,598,328,example/input\Nikon DS-Ri2\Sample 1\087.tif,481.3619019665397,Sample 1
426,609,336,example/input\Nikon DS-Ri2\Sample 1\087.tif,493.1024361608456,Sample 1
144,648,328,example/input\Nikon DS-Ri2\Sample 1\087.tif,481.3619019665397,Sample 1
472,512,336,example/input\Nikon DS-Ri2\Sample 1\087.tif,493.1024361608456,Sample 1
741,482,328,example/input\Nikon DS-Ri2\Sample 1\087.tif,481.3619019665397,Sample 1
284,670,320,example/input\Nikon DS-Ri2\Sample 1\087.tif,469.6213677722338,Sample 1
846,795,352,example/input\Nikon DS-Ri2\Sample 1\087.tif,516.5835045494572,Sample 1
338,15,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514,Sample 1
238,806,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514,Sample 1
819,402,104,example/input\Nikon DS-Ri2\Sample 1\087.tif,152.626944525976,Sample 1
123,249,320,example/input\Nikon DS-Ri2\Sample 1\088.tif,469.6213677722338,Sample 1
660,765,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514,Sample 1
332,543,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514,Sample 1
117,656,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514,Sample 1
453,152,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514,Sample 1
684,129,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514,Sample 1
326,102,336,example/input\Nikon DS-Ri2\Sample 1\088.tif,493.1024361608456,Sample 1
518,333,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514,Sample 1
516,498,336,example/input\Nikon DS-Ri2\Sample 1\088.tif,493.1024361608456,Sample 1
