x,y,diameter_pixel,imagePath,realDiameter
22,687,336,example/input\Nikon DS-Ri2\Sample 1\086.tif,493.10243616084557
1131,86,168,example/input\Nikon DS-Ri2\Sample 1\086.tif,246.55121808042279
1110,436,512,example/input\Nikon DS-Ri2\Sample 1\087.tif,751.3941884355742
784,612,472,example/input\Nikon DS-Ri2\Sample 1\087.tif,692.691517464045
1088,550,448,example/input\Nikon DS-Ri2\Sample 1\087.tif,657.4699148811274
376,404,432,example/input\Nikon DS-Ri2\Sample 1\087.tif,633.9888464925157
276,502,336,example/input\Nikon DS-Ri2\Sample 1\087.tif,493.10243616084557
466,740,336,example/input\Nikon DS-Ri2\Sample 1\087.tif,493.10243616084557
46,566,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514
122,124,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514
664,238,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514
184,490,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514
1170,748,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514
212,598,328,example/input\Nikon DS-Ri2\Sample 1\087.tif,481.3619019665397
426,609,336,example/input\Nikon DS-Ri2\Sample 1\087.tif,493.10243616084557
144,648,328,example/input\Nikon DS-Ri2\Sample 1\087.tif,481.3619019665397
472,512,336,example/input\Nikon DS-Ri2\Sample 1\087.tif,493.10243616084557
741,482,328,example/input\Nikon DS-Ri2\Sample 1\087.tif,481.3619019665397
284,670,320,example/input\Nikon DS-Ri2\Sample 1\087.tif,469.62136777223384
846,795,352,example/input\Nikon DS-Ri2\Sample 1\087.tif,516.5835045494572
338,15,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514
238,806,344,example/input\Nikon DS-Ri2\Sample 1\087.tif,504.8429703551514
819,402,104,example/input\Nikon DS-Ri2\Sample 1\087.tif,152.626944525976
123,249,320,example/input\Nikon DS-Ri2\Sample 1\088.tif,469.62136777223384
660,765,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514
332,543,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514
117,656,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514
453,152,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514
684,129,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514
326,102,336,example/input\Nikon DS-Ri2\Sample 1\088.tif,493.10243616084557
518,333,344,example/input\Nikon DS-Ri2\Sample 1\088.tif,504.8429703551514
516,498,336,example/input\Nikon DS-Ri2\Sample 1\088.tif,493.10243616084557
774,298,328,example/input\Nikon DS-Ri2\Sample 1\088.tif,481.3619019665397
308,273,328,example/input\Nikon DS-Ri2\Sample 1\088.tif,481.3619019665397
728,218,328,example/input\Nikon DS-Ri2\Sample 1\088.tif,481.3619019665397
824,172,360,example/input\Nikon DS-Ri2\Sample 1\089.tif,528.3240387437631
514,758,344,example/input\Nikon DS-Ri2\Sample 1\089.tif,504.8429703551514
681,555,344,example/input\Nikon DS-Ri2\Sample 1\089.tif,504.8429703551514
452,576,344,example/input\Nikon DS-Ri2\Sample 1\089.tif,504.8429703551514
322,526,336,example/input\Nikon DS-Ri2\Sample 1\089.tif,493.10243616084557
531,399,336,example/input\Nikon DS-Ri2\Sample 1\089.tif,493.10243616084557
772,723,336,example/input\Nikon DS-Ri2\Sample 1\089.tif,493.10243616084557
366,318,336,example/input\Nikon DS-Ri2\Sample 1\089.tif,493.10243616084557
304,699,328,example/input\Nikon DS-Ri2\Sample 1\089.tif,481.3619019665397
724,642,328,example/input\Nikon DS-Ri2\Sample 1\089.tif,481.3619019665397
120,675,328,example/input\Nikon DS-Ri2\Sample 1\089.tif,481.3619019665397
576,477,320,example/input\Nikon DS-Ri2\Sample 1\090.tif,469.62136777223384
82,724,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397
514,670,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397
152,288,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.10243616084557
783,591,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397
1164,638,344,example/input\Nikon DS-Ri2\Sample 1\090.tif,504.8429703551514
246,654,344,example/input\Nikon DS-Ri2\Sample 1\090.tif,504.8429703551514
777,224,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.10243616084557
622,346,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397
1048,412,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.10243616084557
676,94,320,example/input\Nikon DS-Ri2\Sample 1\090.tif,469.62136777223384
795,126,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.10243616084557
558,261,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.10243616084557
974,273,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.10243616084557
495,376,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.10243616084557
63,348,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.10243616084557
372,464,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397
674,423,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397
374,585,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397
824,418,344,example/input\Nikon DS-Ri2\Sample 1\090.tif,504.8429703551514
195,510,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397
808,336,320,example/input\Nikon DS-Ri2\Sample 1\090.tif,469.62136777223384
1010,777,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.10243616084557
64,530,432,example/input\Nikon DS-Ri2\Sample 1\091.tif,633.9888464925157
380,524,424,example/input\Nikon DS-Ri2\Sample 1\091.tif,622.2483122982098
279,430,424,example/input\Nikon DS-Ri2\Sample 1\091.tif,622.2483122982098
492,183,424,example/input\Nikon DS-Ri2\Sample 1\091.tif,622.2483122982098
1024,766,352,example/input\Nikon DS-Ri2\Sample 1\091.tif,516.5835045494572
224,580,368,example/input\Nikon DS-Ri2\Sample 1\091.tif,540.064572938069
188,322,320,example/input\Nikon DS-Ri2\Sample 1\091.tif,469.62136777223384
63,255,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514
176,104,352,example/input\Nikon DS-Ri2\Sample 1\091.tif,516.5835045494572
1167,392,328,example/input\Nikon DS-Ri2\Sample 1\091.tif,481.3619019665397
1010,670,352,example/input\Nikon DS-Ri2\Sample 1\091.tif,516.5835045494572
621,244,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
339,705,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
1062,165,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
482,394,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514
1124,518,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
970,381,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514
638,411,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514
1041,537,328,example/input\Nikon DS-Ri2\Sample 1\091.tif,481.3619019665397
130,627,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
932,772,384,example/input\Nikon DS-Ri2\Sample 1\091.tif,563.5456413266807
910,514,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
1116,732,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
328,620,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
1053,322,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
116,364,328,example/input\Nikon DS-Ri2\Sample 1\091.tif,481.3619019665397
483,734,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514
514,40,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514
69,434,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514
1194,279,328,example/input\Nikon DS-Ri2\Sample 1\091.tif,481.3619019665397
542,796,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514
696,790,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
1182,806,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514
3,174,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.10243616084557
916,603,440,example/input\Nikon DS-Ri2\Sample 1\092.tif,645.7293806868215
812,568,432,example/input\Nikon DS-Ri2\Sample 1\092.tif,633.9888464925157
1026,608,424,example/input\Nikon DS-Ri2\Sample 1\092.tif,622.2483122982098
1128,639,432,example/input\Nikon DS-Ri2\Sample 1\092.tif,633.9888464925157
396,111,424,example/input\Nikon DS-Ri2\Sample 1\092.tif,622.2483122982098
472,286,384,example/input\Nikon DS-Ri2\Sample 1\092.tif,563.5456413266807
975,144,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
78,130,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
705,264,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
1076,478,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
898,296,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
936,718,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
1006,424,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
794,308,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
570,358,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
591,112,360,example/input\Nikon DS-Ri2\Sample 1\092.tif,528.3240387437631
714,144,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
1126,364,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
846,693,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
912,494,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
819,146,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
68,45,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
657,57,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
1030,746,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
436,544,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
1066,285,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
928,382,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
372,370,352,example/input\Nikon DS-Ri2\Sample 1\092.tif,516.5835045494572
706,657,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
633,474,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
142,188,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
280,357,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
554,441,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
560,555,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
490,118,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
226,214,360,example/input\Nikon DS-Ri2\Sample 1\092.tif,528.3240387437631
483,396,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
237,84,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
218,300,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
